Nationality ,FIFA Ranking ,National Team Kit Sponsor,Position,National Team Jersey Number,Player DOB,Club ,Player Name , Appearances,Goals Scored ,Assists Provided ,Dribbles per 90,Interceptions per 90,Tackles per 90,Total Duels Won per 90,Save Percentage,Clean Sheets,Brand Sponsor/Brand Used
Ghana,58,Puma,MF,10,"Dec 17, 1989",Al-Sadd,Andre Ayew,3,1,0,0.45,0.00,1.79,7.61,-,-,Nike
Ghana,58,Puma,MF,5,"Jun 13, 1993",Arsenal,Thomas Partey,3,0,0,0.67,0.00,3.00,8.33,-,-,Adidas
Ghana,58,Puma,MF,6,"Nov 7, 1997",Gent,Elisha Owusu,N.A,N.A,N.A,N.A,N.A,N.A,N.A,-,-,Nike
Ghana,58,Puma,MF,21,"Mar 26, 2000",Lens,Salis Abdul Samed,3,0,0,1.07,1.43,0.71,2.50,-,-,Adidas
Ghana,58,Puma,MF,20,"Aug 2, 2000",Ajax,Mohammed Kudus,3,2,0,4.34,0.36,1.81,6.51,-,-,Puma
Ghana,58,Puma,MF,8,"Mar 9, 1996",SC Freiburg,Daniel Kofi Kyereh,3,0,0,2.00,0.00,6.00,N.A,-,-,Nike
Ghana,58,Puma,FW,13,"Jun 26, 2001",Hearts of Oak,Daniel Barnieh Afriyie,N.A,N.A,N.A,N.A,N.A,N.A,N.A,-,-,Puma
Ghana,58,Puma,FW,24,"Jan 9, 2000",Club Brugge,Kamal Sowah,N.A,N.A,N.A,N.A,N.A,N.A,N.A,-,-,Puma
Ghana,58,Puma,FW,7,"Mar 8, 2004",Sporting CP,Issahaku Abdul Fatawu,N.A,N.A,N.A,N.A,N.A,N.A,N.A,-,-,Nike
Ghana,58,Puma,FW,11,"Dec 13, 1998",Red Star Belgrade,Osman Bukari,2,1,0,2.00,0.00,1.55,3.10,-,-,Nike
Ghana,58,Puma,FW,19,"Jun 15, 1994",Athletic Club,Inaki Williams,3,0,1,36.00,0.00,1.07,3.57,-,-,Nike
Ghana,58,Puma,FW,25,"Jan 7, 2000",Bristol City,Antoine Semenyo,2,0,0,0.00,0.00,0.00,10.00,-,-,Adidas
Ghana,58,Puma,FW,9,"Sep 11, 1991",Crystal Palace,Jordan Ayew,3,0,1,2.63,0.66,1.97,5.91,-,-,Puma
Ghana,58,Puma,FW,22,"Feb 15, 2002",Rennes,Kamaldeen Sulemana,N.A,N.A,N.A,N.A,N.A,N.A,N.A,-,-,Nike
Uruguay,16,Puma,GK,1,"June 16, 1986",Galatasaray,Fernando Muslera,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,Puma
Uruguay,16,Puma,GK,23,"March 23, 1993",Nacional,Sergio Rochet,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,Nike
Uruguay,16,Puma,GK,12,"August 19, 1986",Independiente,Sebastian Sosa,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,Nike
Uruguay,16,Puma,DF,4,"March 7, 1999",Barcelona,Ronald Araujo,N.A,N.A,N.A,N.A,N.A,N.A,N.A,-,-,Nike
Uruguay,16,Puma,DF,22,"April 7, 1987",La Galaxy,Martin Caceres,1,0,0,1.00,0.00,0.00,3.00,-,-,Nike
Uruguay,16,Puma,DF,19,"October 7, 1990",Sporting CP,Sebastian Coates,2,0,0,0.00,0.50,0.50,7.50,-,-,Nike
Uruguay,16,Puma,DF,2,"January 20, 1995",Atletico Madrid,Jose Maria Gimenez,3,0,0,0.00,2.33,1.33,7.00,-,-,Nike
Uruguay,16,Puma,DF,3,"February 16, 1986",Velez Sarsfield,Diego Godin,N.A,N.A,N.A,N.A,N.A,N.A,N.A,-,-,Puma
Uruguay,16,Puma,DF,16,"October 31, 1997",Napoli,Mathias Olivera,3,0,0,0.71,0.71,3.18,8.47,-,-,Nike
Uruguay,16,Puma,DF,26,"March 14, 1997",Nacional,Jose Luis Rodriguez,N.A,N.A,N.A,N.A,N.A,N.A,N.A,-,-,Puma
Uruguay,16,Puma,DF,17,"November 9, 1997",Roma,Matias Vina,N.A,N.A,N.A,N.A,N.A,N.A,N.A,-,-,Nike
Uruguay,16,Puma,DF,13,"March 24, 1993",Flamengo,Guillermo Varela,3,0,0,0.99,1.48,1.98,6.92,-,-,Nike
Uruguay,16,Puma,MF,5,"August 24, 1991",Lazio,Matias Vecino,3,0,0,0.00,1.37,1.83,4.57,-,-,Nike
Uruguay,16,Puma,MF,7,"June 1, 1997",River Plate,Nicolás de la Cruz,2,0,0,0.50,0.00,0.00,5.14,-,-,Nike
Uruguay,16,Puma,MF,6,"June 25, 1997",Tottenham Hotspur,Rodrigo Bentancur,3,0,0,2.10,2.94,3.79,11.35,-,-,Adidas
Uruguay,16,Puma,MF,15,"July 22, 1998",Real Madrid,Federico Valverde,3,0,0,1.00,1.67,1.67,3.33,-,-,Nike
Uruguay,16,Puma,MF,10,"June 1, 1994",Flamengo,Giorgian de Arrascaeta,N.A,N.A,N.A,N.A,N.A,N.A,N.A,-,-,Nike
Uruguay,16,Puma,MF,14,"February 11, 1996",Galatasaray,Lucas Torreira,N.A,N.A,N.A,N.A,N.A,N.A,N.A,-,-,Adidas
Uruguay,16,Puma,MF,20,"April 13, 2000",Orlando City ,Facundo Torres,N.A,N.A,N.A,N.A,N.A,N.A,N.A,-,-,Nike
Uruguay,16,Puma,MF,25,"April 11, 2001",Sporting CP,Manuel Ugarte,N.A,N.A,N.A,N.A,N.A,N.A,N.A,-,-,Adidas
Uruguay,16,Puma,FW,9,"January 24, 1987",Nacional,Luis Suarez,N.A,N.A,N.A,N.A,N.A,N.A,N.A,-,-,Puma
Uruguay,16,Puma,FW,21,"February 14, 1987",Valencia,Edinson Cavani,3,0,0,0.00,0.00,0.00,1.48,-,-,Nike
Uruguay,16,Puma,FW,18,"August 14, 1996",Trabzonspor,Maxi Gomez,2,0,0,0.00,0.00,0.00,N.A,-,-,Adidas
Uruguay,16,Puma,FW,11,"June 24, 1999",Liverpool,Darwin Nunez,3,0,0,0.74,0.00,1.12,5.95,-,-,Nike
Uruguay,16,Puma,FW,8,"December 20, 2001",Manchester United,Facundo Pellistri,3,0,0,2.97,0.00,0.99,1.98,-,-,Nike
Uruguay,16,Puma,FW,24,"October 1, 1998",Athletico Paranaense,Agustin Canobbio,N.A,N.A,N.A,N.A,N.A,N.A,N.A,-,-,Nike
Canada,53,Nike,GK,16,"Feb 21, 1997",CF Montreal ,James Paternis,0,-,-,-,-,-,-,-,-,Adidas
Canada,53,Nike,GK,18,"Oct 23, 1987",Red Star Belgrade,Milan Borjan,3,-,-,-,-,-,-,53.33%,0%,Nike
Canada,53,Nike,GK,1,"May 9, 1997",Minnesota United,Dayne St Clair,0,-,-,-,-,-,-,-,-,Adidas
Canada,53,Nike,DF,2,"Oct 8, 1998",Celtic,Alistair Johnson,3,0,0,0.33,0.67,1.33,4.67,-,-,Adidas
Canada,53,Nike,DF,3,"Jan 16, 1995",Hatayspor,Sam Adekugbe,3,0,0,0.95,0.95,0.00,4.73,-,-,Adidas
Canada,53,Nike,DF,4,"May 16, 1997",Montreal Impact,Kamal Miller,3,0,0,0.67,1.00,2.00,7.33,-,-,Nike
Canada,53,Nike,DF,5,"Jan 11, 1987",GD Chaves,Steven Vitória,3,0,0,0.00,0.00,1.33,5.66,-,-,Nike
Canada,53,Nike,DF,22,"Jan 7, 1995",Toronto,Richie Laryea,3,0,0,2.00,0.00,1.68,3.91,-,-,Nike
Canada,53,Nike,DF,25,"Nov 25, 1997",Panaitolikos,Derek Cornelius,N.A,N.A,N.A,N.A,N.A,N.A,N.A,-,-,Nike
Canada,53,Nike,DF,26,"Jan 24, 1996",Montreal Impact,Joel Waterman,N.A,N.A,N.A,N.A,N.A,N.A,N.A,-,-,Nike
Canada,53,Nike,MF,6,"Nov 12, 1994",Montreal Impact,Samuel Piette,N.A,N.A,N.A,N.A,N.A,N.A,N.A,-,-,Adidas
Canada,53,Nike,MF,7,"Dec 21, 1996",Porto,Stephen Eustaquio,2,0,0,0.71,1.42,2.83,5.67,-,-,Nike
Canada,53,Nike,MF,13,"Feb 8, 1983",Besiktas,Atiba Hutchinson,3,0,0,0.56,0.56,2.25,9.56,-,-,Nike
Canada,53,Nike,MF,14,"Dec 4, 1994",Toronto,Mark-Anthony Kaye,1,0,0,0.00,0.00,3.00,4.50,-,-,Adidas
Canada,53,Nike,MF,21,"Jun 12, 1992",Toronto,Jonathan Osorio,N.A,N.A,N.A,N.A,N.A,N.A,N.A,-,-,Nike
Canada,53,Nike,MF,24,"Jan 16, 1990",St. Johnstone,David Wotherspoon,1,0,0,1.00,0.00,0.00,N.A,-,-,Nike
Canada,53,Nike,MF,8,"Feb 13, 1998",KMSK Deinze,Liam Fraser,N.A,N.A,N.A,N.A,N.A,N.A,N.A,-,-,Adidas
Canada,53,Nike,MF,15,"Jun 6, 2002",Watford,Ismael Kone,3,0,0,0.00,0.00,0.00,0.86,-,-,Nike
Canada,53,Nike,FW,9,"Dec 28, 1992",Vancouver Whitecaps,Lucas Cavallini,1,0,0,0.00,0.00,0.00,0.00,-,-,Nike
Canada,53,Nike,FW,10,"Jun 5, 1990",Reading,Junior Hoilett,3,0,0,1.33,0.56,4.44,8.33,-,-,Nike
Canada,53,Nike,FW,11,"Feb 8, 1999",Club Brugge,Tajon Buchanan,3,0,1,6.21,1.03,0.34,5.17,-,-,Adidas
Canada,53,Nike,FW,17,"Apr 17, 1995",Club Brugge,Cyle Larin,3,0,0,1.33,0.00,0.00,1.95,-,-,Nike
Canada,53,Nike,FW,19,"Nov 2, 2000",Bayern Munich,Alphonso Davies,3,1,0,6.00,1.00,0.67,6.67,-,-,Nike
Canada,53,Nike,FW,20,"Jan 14, 2000",Lille,Jonathan David,3,0,0,1.41,0.00,0.47,1.88,-,-,Adidas
Canada,53,Nike,FW,23,"Sep 27, 1999",Basel,Liam Millar,1,0,0,0.00,0.00,0.00,0.00,-,-,Adidas
Canada,53,Nike,FW,12,"Sep 21, 1998",Troyes,Ike Ugbo,N.A,N.A,N.A,N.A,N.A,N.A,N.A,-,-,Nike
